brand,OS,processor,RAM,storage,display,num_of_ratings,num_of_reviews,warranty,product_rating,price
Acer,Windows OS,AMD Ryzen 7,16,512.0,15,174.0,16.0,1,4.2,74990.0
Ultimus,Windows OS,Intel i1,4,512.0,14,2125.0,301.0,1,3.3,11990.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,14,914.0,78.0,1,4.1,155990.0
DELL,Windows OS,Intel i3,8,512.0,15,421.0,37.0,1,4.2,33990.0
ASUS,Windows OS,AMD Ryzen 3,8,512.0,15,3474.0,374.0,1,4.4,36990.0
Lenovo,Windows OS,Intel i3,8,512.0,14,1722.0,95.0,1,4.2,34990.0
Apple,Mac OS,Apple M series,16,256.0,14,919.0,93.0,1,4.7,102990.0
DELL,Windows OS,Intel i5,8,512.0,15,72.0,1.0,1,4.1,45990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
HP,Windows OS,Intel i3,8,512.0,15,434.0,28.0,1,4.2,37990.0
Apple,Mac OS,Apple M series,16,256.0,14,98.0,16.0,1,4.6,99900.0
CHUWI,Windows OS,Intel i1,8,256.0,14,1357.0,162.0,1,3.7,15990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
Acer,Windows OS,Intel i5,16,1024.0,15,56.0,6.0,1,4.3,46990.0
Lenovo,Windows OS,Intel i5,8,512.0,15,471.0,57.0,1,4.3,50090.0
ASUS,Windows OS,,16,512.0,16,19.0,2.0,1,4.5,65990.0
Primebook,Chrome OS,MediaTek,4,512.0,14,1403.0,393.0,1,4.1,14990.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
ASUS,Windows OS,AMD Ryzen 5,16,512.0,15,914.0,78.0,1,4.1,41810.0
Acer,Windows OS,Intel i3,8,512.0,15,840.0,58.0,1,4.3,32990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,15,914.0,78.0,1,4.1,154990.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,15,914.0,78.0,1,4.1,138990.0
Lenovo,Windows OS,AMD Ryzen 7,24,512.0,15,853.0,63.0,1,4.5,87990.0
DELL,Windows OS,Intel i5,16,512.0,15,188.0,7.0,1,4.3,53522.0
HP,Windows OS,Intel i3,8,512.0,15,12.0,1.0,1,4.7,35990.0
Lenovo,Windows OS,Intel i5,8,256.0,14,17.0,1.0,1,4.2,36499.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
CHUWI,Windows OS,Intel i3,12,512.0,14,155.0,37.0,1,4.0,29990.0
Acer,Windows OS,Intel i5,16,1024.0,14,65.0,6.0,1,4.4,51990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
Lenovo,Windows OS,AMD Ryzen 5,16,512.0,15,401.0,23.0,1,4.0,43990.0
MSI,Windows OS,Intel i5,16,512.0,15,20.0,5.0,1,4.0,53989.0
Lenovo,Windows OS,Intel i5,16,512.0,15,718.0,47.0,1,4.3,56065.0
Acer,Windows OS,Intel i1,8,512.0,15,193.0,27.0,1,3.8,22999.0
Acer,Windows OS,Intel i5,16,512.0,14,2692.0,194.0,1,4.1,40990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,15,914.0,78.0,1,4.1,122990.0
Colorful,Windows OS,Intel i5,16,512.0,15,164.0,31.0,2,4.2,64990.0
DELL,Windows OS,Intel i5,16,1024.0,15,24.0,2.0,1,3.9,77990.0
ASUS,Chrome OS,Intel i1,4,512.0,15,2242.0,201.0,1,3.8,14990.0
CHUWI,Windows OS,Intel i1,8,256.0,14,1357.0,162.0,1,3.7,15990.0
Lenovo,Windows OS,Intel i5,16,512.0,14,141.0,25.0,1,4.4,82690.0
Lenovo,Windows OS,Intel i5,16,512.0,14,336.0,44.0,1,4.2,73190.0
Acer,Windows OS,AMD Ryzen 5,16,512.0,14,797.0,93.0,1,4.3,39990.0
Acer,Windows OS,AMD Ryzen 7,16,512.0,15,236.0,25.0,1,4.0,39990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,16,914.0,78.0,1,4.1,149990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,16,914.0,78.0,1,4.1,181990.0
Acer,Windows OS,AMD Ryzen 5,16,512.0,15,884.0,78.0,1,4.0,36990.0
Lenovo,Windows OS,Intel i5,8,512.0,14,2004.0,102.0,1,4.2,45990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
Acer,Windows OS,AMD Ryzen 5,16,512.0,14,797.0,93.0,1,4.3,39990.0
MSI,Windows OS,AMD Ryzen 5,8,512.0,15,3072.0,340.0,1,4.4,36990.0
Lenovo,Windows OS,Intel i5,16,512.0,14,14.0,1.0,1,3.8,50690.0
ASUS,Windows OS,AMD Ryzen 5,8,512.0,15,2480.0,201.0,1,4.4,44990.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
Lenovo,Windows OS,Intel i3,16,512.0,15,43.0,2.0,1,4.0,32890.0
HP,Windows OS,Intel i5,16,512.0,16,142.0,10.0,1,4.4,72990.0
